kepid fits i j k l period prad srad kepmag activity transitid syntheticid plphase synpixmin synpixmax synxmin synxmax
5428088 /raw/kepler/lightcurves/0054/005428088/kplr005428088-2010078095331_llc.fits 0 0 0 18 49.22649491 0.898799156 0.454 14.781 0.010578581 31_0 31 0.0098 23 29 354.869087 354.9916858
12835232 /raw/kepler/lightcurves/0128/012835232/kplr012835232-2009166043257_llc.fits 0 0 0 19 8.699601258 0.609215838 0.488 15.187 0.020991773 32_0 32 0.9503 404 409 140.033008474 140.13517938
12835232 /raw/kepler/lightcurves/0128/012835232/kplr012835232-2009166043257_llc.fits 0 0 0 19 8.699601258 0.609215838 0.488 15.187 0.020991773 32_1 32 0.9503 404 409 148.733008474 148.83517938
12835232 /raw/kepler/lightcurves/0128/012835232/kplr012835232-2009166043257_llc.fits 0 0 0 19 8.699601258 0.609215838 0.488 15.187 0.020991773 32_2 32 0.9503 404 409 157.433008474 157.53517938
3232334 /raw/kepler/lightcurves/0032/003232334/kplr003232334-2011073133259_llc.fits 0 0 1 0 35.87369633 0.524033818 0.602 13.904 0.000263363 33_0 33 0.3678 646 652 750.6877946 750.8103948
12257167 /raw/kepler/lightcurves/0122/012257167/kplr012257167-2011177032512_llc.fits 0 0 1 1 7.74622719 0.605628885 0.393 15.156 0.000483863 34_0 34 0.7229 274 277 848.894009601 848.955312347
12257167 /raw/kepler/lightcurves/0122/012257167/kplr012257167-2011177032512_llc.fits 0 0 1 1 7.74622719 0.605628885 0.393 15.156 0.000483863 34_1 34 0.7229 274 277 856.640009601 856.701312347
12257167 /raw/kepler/lightcurves/0122/012257167/kplr012257167-2011177032512_llc.fits 0 0 1 1 7.74622719 0.605628885 0.393 15.156 0.000483863 34_2 34 0.7229 274 277 864.386009601 864.447312347
12257167 /raw/kepler/lightcurves/0122/012257167/kplr012257167-2011177032512_llc.fits 0 0 1 1 7.74622719 0.605628885 0.393 15.156 0.000483863 34_3 34 0.7229 274 277 872.132009601 872.193312347
6470362 /raw/kepler/lightcurves/0064/006470362/kplr006470362-2012179063303_llc.fits 0 0 1 2 3.034300414 0.890965461 0.27 15.297 0.000586369 35_0 35 0.2365 35 37 1188.13086628 1188.17173479
6470362 /raw/kepler/lightcurves/0064/006470362/kplr006470362-2012179063303_llc.fits 0 0 1 2 3.034300414 0.890965461 0.27 15.297 0.000586369 35_1 35 0.2365 35 37 1191.16486628 1191.20573479
